feature_name,source
variant_other_title:Offsets 245.45 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 25.15 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 263.56 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 27 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 28.99 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 283.01 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 3.19 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 3.43 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 3.68 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 3.95 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 303.9 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 31.13 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 326.32 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 33.43 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 35.9 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 350.41 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 376.26 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 38.55 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 4.24 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 4.56 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 4.89 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 404.03 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 41.39 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 433.85 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 44.45 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 465.87 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 47.73 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 5.25 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 5.64 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 500.25 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 51.25 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 537.17 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 55.03 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 576.81 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 59.09 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 6.06 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 6.5 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 6.98 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 619.38 kg of CO2,Variant option dummy variable
